"fecha","nuevoscasosRN","nuevoscasosBRC","nuevoscasosROCA"
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,1,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,2,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,1,0,1
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,3,1,0
2020-04-04,3,3,0
2020-04-05,3,1,0
2020-04-06,7,1,0
2020-04-07,4,0,0
2020-04-08,7,4,0
2020-04-09,5,4,0
2020-04-10,12,10,0
2020-04-11,19,14,0
2020-04-12,7,0,1
2020-04-13,8,1,0
2020-04-14,15,10,1
2020-04-15,5,2,0
2020-04-16,9,3,0
2020-04-17,4,2,1
2020-04-18,7,2,0
2020-04-19,4,0,0
2020-04-20,14,4,1
2020-04-21,14,5,1
2020-04-22,11,1,0
2020-04-23,4,2,1
2020-04-24,5,0,4
2020-04-25,6,2,0
2020-04-26,5,0,0
2020-04-27,3,0,0
2020-04-28,12,3,0
2020-04-29,8,0,2
2020-04-30,14,0,0
2020-05-01,8,0,3
2020-05-02,7,0,0
2020-05-03,6,0,3
2020-05-04,7,1,0
2020-05-05,4,0,0
2020-05-06,6,1,1
2020-05-07,2,2,0
2020-05-08,2,1,0
2020-05-09,4,1,0
2020-05-10,2,0,0
2020-05-11,13,11,1
2020-05-12,1,1,0
2020-05-13,4,3,0
2020-05-14,4,4,0
2020-05-15,17,17,0
2020-05-16,6,1,0
2020-05-17,2,0,0
2020-05-18,2,1,0
2020-05-19,6,5,0
2020-05-20,2,2,0
2020-05-21,3,1,0
2020-05-22,6,2,4
2020-05-23,5,1,3
2020-05-24,5,0,1
2020-05-25,4,0,3
2020-05-26,4,2,2
2020-05-27,8,2,3
2020-05-28,7,3,2
2020-05-29,11,2,5
2020-05-30,5,0,2
2020-05-31,4,0,4
2020-06-01,11,4,5
2020-06-02,3,1,1
2020-06-03,16,2,6
2020-06-04,8,4,4
2020-06-05,8,1,4
2020-06-06,15,3,7
2020-06-07,10,0,5
2020-06-08,10,2,6
2020-06-09,14,4,5
2020-06-10,12,1,8
2020-06-11,14,6,6
2020-06-12,16,5,8
2020-06-13,13,5,6
2020-06-14,6,0,2
2020-06-15,12,2,2
2020-06-16,16,5,5
2020-06-17,14,3,7
2020-06-18,27,11,11
2020-06-19,35,6,16
2020-06-20,19,7,3
2020-06-21,16,7,4
2020-06-22,9,0,5
2020-06-23,19,3,4
2020-06-24,37,15,16
2020-06-25,36,19,6
2020-06-26,13,5,2
