nombre2,Latitud,Longitud,Texto
RiesgoAvellanedaNA,-34.676135,-58.353813,"Avellaneda"
RiesgoBariloche,-41.14436,-71.31021, "Bariloche"
RiesgoBuenosAires,-36.15563,-59.67701,"Provincia de Buenos Aires"
RiesgoCABACABANA,-34.59906,-58.44934, "CABA"
RiesgoCABACOMUNA1,-34.596522,-58.372775,"CABA COMUNA1"
RiesgoCABACOMUNA3,-34.613632,-58.402683,"CABA COMUNA3"
RiesgoCABACOMUNA4,-34.641472,-58.389063,"CABA COMUNA4"
RiesgoCABACOMUNA7,-34.635997,-58.451892,"CABA COMUNA7"
RiesgoCABACOMUNA8,-34.676444,-58.477528,"CABA COMUNA8"
RiesgoCABASINESPECIFICAR,-34.655537,-58.436866,"SIN ESPECIFICAR"
RiesgoChacoNA,-26.49039,-60.60428,"Provincia de Chaco"
RiesgoGeneralRoca,-39.02549,-67.57987,"General Roca"
RiesgoLaMatanza,-34.762205,-58.626420,"La Matanza"
RiesgoLanúsNA,-34.718193,-58.393824,"Lanús"
RiesgoLaPlata,-34.914652,-57.952126,"La Plata"
RiesgoLomasde,-34.763051,-58.383970,"Lomas de Zamora"
RiesgoQuilmesNA,-34.738509,-58.274411,"Quilmes"
RiesgoRioNegro,-40.03166,-67.67322,"Provincia de Rio Negro"
RiesgoSanFernando,-27.74898,-59.01236,"San Fernando Chaco"
RiesgoCórdobaCórdoba,-31.4144096,-64.2072832,"Ciudad de Córdoba"
RiesgoCórdobaColón,-31.1730901,-64.4266507,"Colón"
RiesgoCórdobaJavier,-32.03331,-65.0587869,"San Javier"
RiesgoCórdobaPunilla,-31.1971199,-65.173777,"Punilla"
RiesgoCórdobaMaría,-31.6739456,-64.6961739,"Santa María"
RiesgoNeuquénConfluencia,-38.8751414,-69.918078,"Confluencia"  
RiesgoNeuquénLoncopué, -38.0711421,-70.6204517,"Loncopué"  
RiesgoNeuquénNeuquén,38.94108,-68.1856128,"Neuquén"
RiesgoJujuyJujuy,-24.2053236,-65.3755957,"Provincia de Jujuy"
RiesgoJujuyCarmen,-24.3889228,-65.2707451,"El Carmen"
RiesgoJujuyLedesma,-23.8152603,-64.8079313,"Ledesma"
RiesgoJujuySusques,-23.4166467,-66.4921092,"Susques"
RiesgoJujuyManuel,-24.0763744,-65.6877148,"Dr. Manuel Belgrano"
RiesgoSaltaSalta,-24.171756,-67.69567,"Provincia de Salta"
RiesgoSaltaCapital,-24.7959126,-65.5008412,"Salta Capital"
RiesgoSaltaGuemes,-24.6684902,-65.0658214,"General Guemes"
RiesgoSaltaOran,-23.1378208,-64.349779,"San Ramon de la Nueva Oran"
RiesgoSaltaJose,-22.7842463,-64.8475636,"San Martín"
RiesgoGeneralPueyrredón,-38.0174831,-57.7409636,"General Pueyrredón"
RiesgoBahíaBlanca,-38.7212086,-62.3265846,"Bahía Blanca"
RiesgoTucumanCapital,-26.8328416,-65.2928062,"Tucumal Capital"  
RiesgoTucumanCruzAlta,-26.9086878,-65.1323881,"Cruz Alta"  
RiesgoTucumanTafiViejo,-26.6622733,-65.7300731,"Tafí Viejo"  
RiesgoTucumanTucuman,-27.0233021,-66.4441939,"Provincia de Tucumán"
RiesgoMendozaCapital,-32.8833303,-68.8936246,"Mendoza Capital"
RiesgoMendozaLasHeras,-32.502084,-69.9005951,"Las Heras"  
RiesgoMendozaMendoza,-34.6878808,-73.0477668,"Provincia de Mandoza"
RiesgoMendozaGuaymallen,-32.8845844,-68.7971906,"Guaymallén"
RiesgoMendozaLujande,-33.0084125,-69.9229787,"Luján de Cuyo"
