"fecha","Catamarca","Capital","Valle Viejo","Belén"
2020-01-20,1,1,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,3,3,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,1,1,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,1,1,0,0
2020-04-10,1,1,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,1,0,0,0
2020-04-14,0,0,0,0
2020-04-15,0,0,0,0
2020-04-16,1,1,0,0
2020-04-17,0,0,0,0
2020-04-18,0,0,0,0
2020-04-19,0,0,0,0
2020-04-20,0,0,0,0
2020-04-21,0,0,0,0
2020-04-22,0,0,0,0
2020-04-23,0,0,0,0
2020-04-24,0,0,0,0
2020-04-25,1,1,0,0
2020-04-26,0,0,0,0
2020-04-27,0,0,0,0
2020-04-28,0,0,0,0
2020-04-29,0,0,0,0
2020-04-30,0,0,0,0
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,0,0,0,0
2020-05-04,0,0,0,0
2020-05-05,1,1,0,0
2020-05-06,0,0,0,0
2020-05-07,0,0,0,0
2020-05-08,0,0,0,0
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,0,0,0
2020-05-12,0,0,0,0
2020-05-13,1,1,0,0
2020-05-14,0,0,0,0
2020-05-15,0,0,0,0
2020-05-16,1,0,0,1
2020-05-17,1,1,0,0
2020-05-18,0,0,0,0
2020-05-19,1,1,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,0,0
2020-05-22,2,1,1,0
2020-05-23,2,2,0,0
2020-05-24,3,2,0,0
2020-05-25,0,0,0,0
2020-05-26,2,2,0,0
2020-05-27,0,0,0,0
2020-05-28,0,0,0,0
2020-05-29,0,0,0,0
2020-05-30,1,1,0,0
2020-05-31,2,2,0,0
2020-06-01,1,1,0,0
2020-06-02,2,1,0,0
2020-06-03,2,1,0,0
2020-06-04,2,1,0,0
2020-06-05,0,0,0,0
2020-06-06,2,1,0,0
2020-06-07,1,1,0,0
2020-06-08,0,0,0,0
2020-06-09,0,0,0,0
2020-06-10,2,1,1,0
2020-06-11,1,1,0,0
2020-06-12,0,0,0,0
2020-06-13,0,0,0,0
2020-06-14,0,0,0,0
2020-06-15,0,0,0,0
2020-06-16,0,0,0,0
2020-06-17,0,0,0,0
2020-06-18,0,0,0,0
2020-06-19,0,0,0,0
2020-06-20,0,0,0,0
2020-06-21,0,0,0,0
2020-06-22,2,1,0,0
2020-06-23,2,2,0,0
2020-06-24,1,0,0,0
2020-06-25,3,2,0,0
2020-06-26,3,2,1,0
2020-06-27,2,1,0,0
2020-06-28,0,0,0,0
2020-06-29,8,6,2,0
2020-06-30,11,8,0,1
2020-07-01,11,10,0,0
2020-07-02,15,10,1,1
2020-07-03,18,13,2,0
2020-07-04,15,13,1,0
2020-07-05,16,6,2,0
2020-07-06,16,11,1,0
2020-07-07,17,12,0,0
2020-07-08,14,10,0,1
2020-07-09,22,19,1,0
2020-07-10,10,8,1,0
2020-07-11,10,8,1,0
2020-07-12,7,3,0,0
2020-07-13,4,4,0,0
2020-07-14,4,3,1,0
2020-07-15,6,6,0,0
2020-07-16,7,6,1,0
2020-07-17,0,0,0,0
2020-07-18,6,4,0,1
2020-07-19,3,3,0,0
2020-07-20,4,3,0,0
2020-07-21,5,2,0,0
2020-07-22,0,0,0,0
2020-07-23,0,0,0,0
2020-07-24,4,3,0,0
2020-07-25,1,1,0,0
2020-07-26,2,2,0,0
2020-07-27,3,2,0,0
2020-07-28,4,2,0,0
2020-07-29,4,1,0,0
2020-07-30,5,1,1,1
2020-07-31,7,2,0,1
2020-08-01,5,2,0,0
2020-08-02,5,3,2,0
2020-08-03,1,0,0,0
2020-08-04,4,3,0,0
2020-08-05,2,1,0,0
2020-08-06,5,4,0,0
2020-08-07,2,1,0,0
2020-08-08,1,1,0,0
2020-08-09,4,1,1,0
2020-08-10,2,1,0,0
2020-08-11,5,4,0,0
2020-08-12,1,1,0,0
2020-08-13,0,0,0,0
2020-08-14,4,2,0,0
2020-08-15,2,2,0,0
2020-08-16,3,1,0,1
2020-08-17,3,1,0,0
2020-08-18,6,1,1,1
2020-08-19,4,1,0,1
2020-08-20,2,0,0,0
2020-08-21,2,0,0,0
2020-08-22,2,0,0,0
2020-08-23,1,1,0,0
2020-08-24,1,1,0,0
2020-08-25,4,2,1,0
2020-08-26,7,1,1,0
2020-08-27,9,5,0,1
2020-08-28,6,2,1,1
2020-08-29,12,7,1,2
2020-08-30,14,7,2,1
2020-08-31,9,5,2,0
2020-09-01,9,8,0,0
2020-09-02,9,6,2,1
2020-09-03,7,5,0,0
2020-09-04,8,5,0,0
2020-09-05,6,2,0,2
2020-09-06,12,5,0,3
2020-09-07,7,3,0,3
2020-09-08,16,4,0,6
2020-09-09,12,6,0,3
2020-09-10,19,4,0,7
2020-09-11,13,6,0,5
2020-09-12,13,9,0,1
2020-09-13,14,9,1,3
2020-09-14,12,7,0,5
2020-09-15,14,5,2,6
2020-09-16,16,8,3,3
2020-09-17,18,8,5,4
2020-09-18,13,5,3,1
2020-09-19,19,10,2,0
2020-09-20,21,6,3,1
2020-09-21,32,11,3,0
2020-09-22,27,8,3,1
2020-09-23,20,10,1,0
2020-09-24,23,7,2,2
2020-09-25,24,9,0,3
2020-09-26,18,5,1,2
2020-09-27,10,8,1,1
2020-09-28,9,7,0,0
2020-09-29,10,4,5,0
2020-09-30,12,7,2,0
2020-10-01,17,14,1,0
2020-10-02,17,12,1,1
2020-10-03,18,13,0,1
2020-10-04,21,15,3,0
2020-10-05,14,11,0,1
2020-10-06,16,13,1,0
2020-10-07,15,12,1,0
2020-10-08,18,11,3,1
2020-10-09,16,12,2,0
2020-10-10,21,14,2,0
2020-10-11,12,8,2,0
2020-10-12,17,15,0,0
2020-10-13,26,17,1,1
2020-10-14,35,20,6,0
2020-10-15,26,20,2,0
2020-10-16,24,15,2,0
2020-10-17,35,21,3,0
2020-10-18,24,15,0,0
2020-10-19,31,19,0,1
2020-10-20,31,18,5,0
2020-10-21,32,27,1,1
2020-10-22,39,25,2,0
2020-10-23,70,47,3,0
2020-10-24,48,37,3,0
2020-10-25,51,36,2,1
2020-10-26,65,47,5,0
2020-10-27,71,53,9,0
2020-10-28,81,60,6,0
2020-10-29,71,49,9,0
2020-10-30,75,52,8,1
2020-10-31,64,42,6,1
2020-11-01,86,43,22,3
2020-11-02,51,29,8,1
2020-11-03,56,31,15,1
2020-11-04,75,43,14,2
2020-11-05,72,44,14,2
2020-11-06,64,33,9,3
2020-11-07,73,38,14,1
2020-11-08,71,39,13,4
2020-11-09,75,54,9,0
2020-11-10,60,49,3,0
2020-11-11,61,43,9,0
2020-11-12,58,36,8,1
2020-11-13,44,30,1,1
2020-11-14,51,38,2,0
2020-11-15,45,21,9,0
2020-11-16,34,21,4,0
2020-11-17,41,25,6,0
2020-11-18,43,31,7,1
2020-11-19,34,20,4,0
2020-11-20,38,25,7,0
2020-11-21,29,17,6,0
2020-11-22,33,22,4,0
2020-11-23,38,22,7,1
2020-11-24,25,21,1,0
2020-11-25,33,26,2,0
