"fecha","Entre Ríos","Paraná","Concordia","Gualeguaychú"
2020-01-01,1,0,0,0
2020-01-02,4,2,0,1
2020-01-03,1,1,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,1,0,0,0
2020-01-10,1,0,0,0
2020-01-11,0,0,0,0
2020-01-12,1,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,1,1,0,0
2020-01-16,1,0,1,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,1,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,1,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,4,1,1,0
2020-01-30,0,0,0,0
2020-01-31,3,3,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,1,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,1,1,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,1,1,0,0
2020-02-22,1,0,0,1
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,1,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,1,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,0,0,1
2020-03-11,2,1,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,1,1,0,0
2020-03-16,1,0,0,0
2020-03-17,0,0,0,0
2020-03-18,1,0,0,0
2020-03-19,2,1,0,0
2020-03-20,2,2,0,0
2020-03-21,1,0,0,0
2020-03-22,0,0,0,0
2020-03-23,2,0,0,1
2020-03-24,1,0,0,0
2020-03-25,2,1,0,1
2020-03-26,0,0,0,0
2020-03-27,4,0,1,2
2020-03-28,1,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,1,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,1,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,0,0,0,0
2020-04-16,0,0,0,0
2020-04-17,0,0,0,0
2020-04-18,1,1,0,0
2020-04-19,0,0,0,0
2020-04-20,2,2,0,0
2020-04-21,0,0,0,0
2020-04-22,0,0,0,0
2020-04-23,0,0,0,0
2020-04-24,0,0,0,0
2020-04-25,2,0,0,1
2020-04-26,1,0,0,1
2020-04-27,0,0,0,0
2020-04-28,0,0,0,0
2020-04-29,1,0,0,1
2020-04-30,1,0,0,1
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,1,0,0,1
2020-05-04,0,0,0,0
2020-05-05,0,0,0,0
2020-05-06,0,0,0,0
2020-05-07,0,0,0,0
2020-05-08,0,0,0,0
2020-05-09,1,0,1,0
2020-05-10,0,0,0,0
2020-05-11,1,0,1,0
2020-05-12,0,0,0,0
2020-05-13,0,0,0,0
2020-05-14,1,1,0,0
2020-05-15,0,0,0,0
2020-05-16,0,0,0,0
2020-05-17,0,0,0,0
2020-05-18,0,0,0,0
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,0,0,0
2020-05-22,0,0,0,0
2020-05-23,1,0,0,0
2020-05-24,3,1,0,0
2020-05-25,2,1,0,0
2020-05-26,0,0,0,0
2020-05-27,1,0,0,0
2020-05-28,1,0,0,0
2020-05-29,1,0,0,0
2020-05-30,4,0,0,0
2020-05-31,2,0,0,0
2020-06-01,2,1,0,0
2020-06-02,3,0,0,1
2020-06-03,10,0,1,0
2020-06-04,6,0,1,2
2020-06-05,3,1,0,0
2020-06-06,4,1,0,2
2020-06-07,8,2,0,1
2020-06-08,28,2,0,2
2020-06-09,6,2,0,0
2020-06-10,8,0,1,0
2020-06-11,6,3,0,1
2020-06-12,14,4,0,0
2020-06-13,9,3,0,1
2020-06-14,7,3,0,0
2020-06-15,8,5,0,0
2020-06-16,15,7,0,1
2020-06-17,10,5,0,0
2020-06-18,15,9,0,0
2020-06-19,15,9,0,1
2020-06-20,22,13,0,0
2020-06-21,15,11,0,1
2020-06-22,10,6,0,0
2020-06-23,17,11,0,2
2020-06-24,6,4,0,0
2020-06-25,10,3,1,2
2020-06-26,15,11,1,0
2020-06-27,7,5,0,0
2020-06-28,3,1,0,1
2020-06-29,9,8,0,0
2020-06-30,6,4,0,0
2020-07-01,12,2,1,3
2020-07-02,14,10,0,2
2020-07-03,17,9,0,6
2020-07-04,23,14,1,2
2020-07-05,12,6,0,3
2020-07-06,25,12,0,5
2020-07-07,24,12,0,3
2020-07-08,35,16,0,13
2020-07-09,30,11,1,7
2020-07-10,42,12,0,18
2020-07-11,33,16,0,9
2020-07-12,21,8,0,7
2020-07-13,27,8,0,13
2020-07-14,13,3,0,9
2020-07-15,19,12,1,5
2020-07-16,16,7,0,7
2020-07-17,12,4,1,2
2020-07-18,9,1,0,4
2020-07-19,13,5,1,3
2020-07-20,10,6,0,0
2020-07-21,12,5,0,4
2020-07-22,13,7,1,0
2020-07-23,21,14,0,3
2020-07-24,15,10,0,1
2020-07-25,23,11,0,8
2020-07-26,18,13,1,3
2020-07-27,10,6,0,2
2020-07-28,23,16,0,4
2020-07-29,24,17,0,3
2020-07-30,35,25,2,4
2020-07-31,38,33,2,2
2020-08-01,73,57,0,8
2020-08-02,40,29,0,5
2020-08-03,73,63,1,2
2020-08-04,62,44,2,13
2020-08-05,50,38,0,6
2020-08-06,53,42,2,7
2020-08-07,81,61,6,11
2020-08-08,71,44,3,12
2020-08-09,75,45,6,14
2020-08-10,86,63,2,14
2020-08-11,68,49,1,11
2020-08-12,80,56,2,14
2020-08-13,94,61,4,14
2020-08-14,83,50,1,20
2020-08-15,97,55,5,24
2020-08-16,128,83,4,30
2020-08-17,110,68,4,21
2020-08-18,134,90,0,20
2020-08-19,130,79,0,33
2020-08-20,155,104,3,31
2020-08-21,151,98,0,34
2020-08-22,192,119,5,43
2020-08-23,153,79,7,37
2020-08-24,213,136,5,41
2020-08-25,213,125,10,35
2020-08-26,171,102,2,32
2020-08-27,167,100,1,31
2020-08-28,151,83,5,36
2020-08-29,140,80,0,30
2020-08-30,132,67,4,28
2020-08-31,158,104,3,22
2020-09-01,133,92,2,16
2020-09-02,147,92,3,24
2020-09-03,135,89,0,16
2020-09-04,114,70,0,16
2020-09-05,106,63,1,16
2020-09-06,135,81,4,20
2020-09-07,129,76,2,22
2020-09-08,130,77,1,22
2020-09-09,126,63,3,21
2020-09-10,135,84,0,22
2020-09-11,136,85,2,18
2020-09-12,134,82,2,16
2020-09-13,118,67,0,16
2020-09-14,136,78,4,19
2020-09-15,115,74,1,15
2020-09-16,123,72,6,16
2020-09-17,106,61,1,15
2020-09-18,127,75,5,8
2020-09-19,119,64,4,18
2020-09-20,130,90,2,13
2020-09-21,138,84,5,18
2020-09-22,144,88,1,16
2020-09-23,174,104,4,25
2020-09-24,126,63,4,9
2020-09-25,175,106,4,15
2020-09-26,186,101,4,21
2020-09-27,173,96,4,23
2020-09-28,184,104,5,17
2020-09-29,145,84,5,14
2020-09-30,170,101,1,26
2020-10-01,197,95,10,27
2020-10-02,185,92,4,29
2020-10-03,190,104,9,24
2020-10-04,166,79,11,27
2020-10-05,275,124,9,33
2020-10-06,227,112,14,22
2020-10-07,242,130,9,23
2020-10-08,282,132,15,27
2020-10-09,287,129,17,29
2020-10-10,344,151,32,30
2020-10-11,291,145,23,26
2020-10-12,354,146,28,24
2020-10-13,380,160,37,28
2020-10-14,327,152,31,31
2020-10-15,310,140,28,21
2020-10-16,351,156,32,24
2020-10-17,334,120,40,25
2020-10-18,350,135,34,22
2020-10-19,387,153,37,32
2020-10-20,395,156,51,32
2020-10-21,337,154,27,33
2020-10-22,258,104,32,17
2020-10-23,291,106,32,21
