"fecha","Salta","Capital","General Güemes","Orán","Grl. José de San Martín"
2020-01-29,1,0,0,0,1
2020-01-30,1,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,1,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,1,0,0,0,0
2020-02-22,1,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,1,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,2,1,0,0,1
2020-03-13,0,0,0,0,0
2020-03-14,0,0,0,0,0
2020-03-15,0,0,0,0,0
2020-03-16,0,0,0,0,0
2020-03-17,0,0,0,0,0
2020-03-18,1,1,0,0,0
2020-03-19,0,0,0,0,0
2020-03-20,0,0,0,0,0
2020-03-21,0,0,0,0,0
2020-03-22,0,0,0,0,0
2020-03-23,1,0,0,0,0
2020-03-24,1,1,0,0,0
2020-03-25,0,0,0,0,0
2020-03-26,0,0,0,0,0
2020-03-27,0,0,0,0,0
2020-03-28,0,0,0,0,0
2020-03-29,0,0,0,0,0
2020-03-30,0,0,0,0,0
2020-03-31,0,0,0,0,0
2020-04-01,0,0,0,0,0
2020-04-02,0,0,0,0,0
2020-04-03,0,0,0,0,0
2020-04-04,0,0,0,0,0
2020-04-05,0,0,0,0,0
2020-04-06,0,0,0,0,0
2020-04-07,0,0,0,0,0
2020-04-08,1,0,0,0,0
2020-04-09,0,0,0,0,0
2020-04-10,0,0,0,0,0
2020-04-11,0,0,0,0,0
2020-04-12,1,0,1,0,0
2020-04-13,0,0,0,0,0
2020-04-14,0,0,0,0,0
2020-04-15,0,0,0,0,0
2020-04-16,0,0,0,0,0
2020-04-17,2,2,0,0,0
2020-04-18,0,0,0,0,0
2020-04-19,0,0,0,0,0
2020-04-20,1,0,0,0,0
2020-04-21,0,0,0,0,0
2020-04-22,1,0,0,1,0
2020-04-23,0,0,0,0,0
2020-04-24,0,0,0,0,0
2020-04-25,1,0,0,0,0
2020-04-26,0,0,0,0,0
2020-04-27,0,0,0,0,0
2020-04-28,0,0,0,0,0
2020-04-29,0,0,0,0,0
2020-04-30,0,0,0,0,0
2020-05-01,0,0,0,0,0
2020-05-02,0,0,0,0,0
2020-05-03,0,0,0,0,0
2020-05-04,1,0,0,0,0
2020-05-05,1,0,1,0,0
2020-05-06,0,0,0,0,0
2020-05-07,2,1,0,0,0
2020-05-08,0,0,0,0,0
2020-05-09,1,0,0,0,0
2020-05-10,0,0,0,0,0
2020-05-11,0,0,0,0,0
2020-05-12,0,0,0,0,0
2020-05-13,2,2,0,0,0
2020-05-14,1,0,0,0,0
2020-05-15,0,0,0,0,0
2020-05-16,1,1,0,0,0
2020-05-17,0,0,0,0,0
2020-05-18,1,0,0,0,0
2020-05-19,0,0,0,0,0
2020-05-20,1,0,0,1,0
2020-05-21,0,0,0,0,0
2020-05-22,0,0,0,0,0
2020-05-23,2,0,0,2,0
2020-05-24,0,0,0,0,0
2020-05-25,3,0,0,2,0
2020-05-26,1,0,0,0,0
2020-05-27,0,0,0,0,0
2020-05-28,3,3,0,0,0
2020-05-29,1,0,0,1,0
2020-05-30,2,1,0,1,0
2020-05-31,2,2,0,0,0
2020-06-01,0,0,0,0,0
2020-06-02,0,0,0,0,0
2020-06-03,1,0,1,0,0
2020-06-04,1,0,0,0,0
2020-06-05,1,1,0,0,0
2020-06-06,2,1,0,1,0
2020-06-07,1,0,0,0,0
2020-06-08,2,0,0,0,0
2020-06-09,0,0,0,0,0
2020-06-10,1,1,0,0,0
2020-06-11,1,0,0,1,0
2020-06-12,1,0,0,1,0
2020-06-13,0,0,0,0,0
2020-06-14,2,1,0,1,0
2020-06-15,5,1,0,0,1
2020-06-16,1,1,0,0,0
2020-06-17,0,0,0,0,0
2020-06-18,0,0,0,0,0
2020-06-19,1,0,0,1,0
2020-06-20,0,0,0,0,0
2020-06-21,1,0,0,0,1
2020-06-22,1,0,0,0,1
2020-06-23,1,0,0,0,1
2020-06-24,0,0,0,0,0
2020-06-25,3,1,0,1,1
2020-06-26,0,0,0,0,0
2020-06-27,1,0,0,0,0
2020-06-28,6,2,0,3,0
2020-06-29,7,2,1,1,2
2020-06-30,5,0,0,1,2
2020-07-01,7,5,0,2,0
2020-07-02,7,4,0,2,1
2020-07-03,5,0,1,1,3
2020-07-04,7,1,1,2,1
2020-07-05,5,3,0,0,1
2020-07-06,10,2,0,4,1
2020-07-07,11,3,1,3,1
2020-07-08,10,2,0,3,3
2020-07-09,5,3,0,1,0
2020-07-10,14,4,2,4,3
2020-07-11,12,3,1,3,4
2020-07-12,13,4,2,2,3
2020-07-13,22,6,0,7,8
2020-07-14,11,7,1,1,0
2020-07-15,9,6,0,0,1
2020-07-16,16,6,2,2,6
2020-07-17,11,5,0,1,4
2020-07-18,10,6,0,2,1
2020-07-19,10,4,0,4,0
2020-07-20,11,6,0,3,1
2020-07-21,8,4,1,0,2
2020-07-22,11,2,1,1,5
2020-07-23,10,1,1,0,5
2020-07-24,17,3,0,1,9
2020-07-25,17,5,1,0,9
2020-07-26,17,4,1,1,10
2020-07-27,23,4,2,3,11
2020-07-28,17,5,1,3,5
2020-07-29,27,6,2,5,11
2020-07-30,45,9,2,6,25
2020-07-31,49,12,1,10,23
2020-08-01,42,12,2,8,18
2020-08-02,36,9,1,4,21
2020-08-03,52,11,3,10,27
2020-08-04,61,12,2,10,32
2020-08-05,66,18,2,9,29
2020-08-06,93,6,7,9,61
2020-08-07,92,23,4,8,47
2020-08-08,85,13,5,13,47
2020-08-09,75,22,4,5,38
2020-08-10,143,23,6,25,74
2020-08-11,115,37,11,18,39
2020-08-12,126,25,9,22,49
2020-08-13,107,26,5,20,43
2020-08-14,148,41,10,35,50
2020-08-15,136,35,11,37,41
2020-08-16,126,26,4,39,50
2020-08-17,197,56,13,53,61
2020-08-18,180,46,10,53,56
2020-08-19,154,45,16,42,29
2020-08-20,181,46,10,65,40
2020-08-21,179,75,23,42,20
2020-08-22,160,62,20,43,17
2020-08-23,198,77,22,47,32
2020-08-24,227,115,16,48,15
2020-08-25,231,121,22,48,20
2020-08-26,207,119,15,35,16
2020-08-27,261,150,13,33,23
2020-08-28,261,152,19,38,17
2020-08-29,208,120,11,33,18
2020-08-30,257,147,17,47,14
2020-08-31,281,171,16,44,18
2020-09-01,324,182,14,62,18
2020-09-02,326,189,13,60,15
2020-09-03,331,203,11,59,14
2020-09-04,335,196,14,52,19
2020-09-05,360,200,20,52,22
2020-09-06,390,219,22,59,33
2020-09-07,370,254,8,44,17
2020-09-08,343,234,9,37,8
2020-09-09,305,204,20,31,7
2020-09-10,404,257,15,43,16
2020-09-11,347,219,26,32,14
2020-09-12,285,172,16,31,16
2020-09-13,309,182,16,29,13
2020-09-14,349,200,18,30,21
2020-09-15,387,257,21,34,17
2020-09-16,335,203,17,28,14
