"fecha","San Luis","La Capital","General Pedernera"
2020-01-07,1,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,1,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,1,1,0
2020-01-28,2,2,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,1,0
2020-03-06,1,1,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,2,1,1
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,2,2,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,2,1,1
2020-03-20,1,1,0
2020-03-21,2,0,0
2020-03-22,1,1,0
2020-03-23,0,0,0
2020-03-24,1,0,1
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,1,0,1
2020-03-28,0,0,0
2020-03-29,1,0,1
2020-03-30,1,0,1
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,1,1,0
2020-04-06,1,1,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,0
2020-04-11,1,0,1
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,0,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,1,1,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,0,0,0
2020-05-13,0,0,0
2020-05-14,0,0,0
2020-05-15,1,1,0
2020-05-16,0,0,0
2020-05-17,0,0,0
2020-05-18,0,0,0
2020-05-19,0,0,0
2020-05-20,0,0,0
2020-05-21,0,0,0
2020-05-22,0,0,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,0,0,0
2020-05-26,1,1,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,0,0,0
2020-06-04,0,0,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,1,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,1,1,0
2020-06-25,1,1,0
2020-06-26,0,0,0
2020-06-27,1,1,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,1,0,0
2020-07-04,1,1,0
2020-07-05,0,0,0
2020-07-06,1,1,0
2020-07-07,0,0,0
2020-07-08,1,1,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,2,1,1
2020-07-12,0,0,0
2020-07-13,2,2,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,3,2,0
2020-07-17,1,1,0
2020-07-18,1,0,0
2020-07-19,0,0,0
2020-07-20,1,0,1
2020-07-21,2,1,0
2020-07-22,0,0,0
2020-07-23,5,1,4
2020-07-24,0,0,0
2020-07-25,2,2,0
2020-07-26,0,0,0
2020-07-27,2,1,1
2020-07-28,2,0,1
2020-07-29,3,3,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,2,2,0
2020-08-02,3,1,1
2020-08-03,0,0,0
2020-08-04,0,0,0
2020-08-05,0,0,0
2020-08-06,1,1,0
2020-08-07,0,0,0
2020-08-08,0,0,0
2020-08-09,0,0,0
2020-08-10,0,0,0
2020-08-11,1,0,1
2020-08-12,2,0,1
2020-08-13,0,0,0
2020-08-14,3,2,1
2020-08-15,3,1,0
2020-08-16,3,3,0
2020-08-17,1,1,0
2020-08-18,2,2,0
2020-08-19,1,1,0
2020-08-20,6,2,2
2020-08-21,8,5,1
2020-08-22,8,3,0
2020-08-23,11,3,1
2020-08-24,22,7,3
2020-08-25,17,10,1
2020-08-26,22,8,3
2020-08-27,17,3,2
2020-08-28,20,7,2
2020-08-29,29,5,5
2020-08-30,25,8,2
2020-08-31,31,13,3
2020-09-01,19,7,1
2020-09-02,28,11,2
2020-09-03,22,4,1
2020-09-04,24,7,4
2020-09-05,24,10,0
2020-09-06,21,6,3
2020-09-07,33,9,7
2020-09-08,31,21,1
2020-09-09,42,22,8
2020-09-10,40,18,12
2020-09-11,46,23,14
2020-09-12,49,16,12
2020-09-13,59,22,12
2020-09-14,58,21,16
2020-09-15,75,30,18
2020-09-16,90,32,18
2020-09-17,89,32,22
2020-09-18,76,14,20
2020-09-19,114,50,23
2020-09-20,113,36,48
2020-09-21,111,28,51
2020-09-22,92,29,43
2020-09-23,121,52,45
2020-09-24,95,25,43
2020-09-25,90,37,32
2020-09-26,88,35,39
2020-09-27,128,65,53
2020-09-28,136,51,57
2020-09-29,117,37,62
2020-09-30,113,47,46
2020-10-01,133,56,58
2020-10-02,118,40,50
2020-10-03,125,49,57
2020-10-04,126,49,60
2020-10-05,187,67,99
2020-10-06,174,62,89
2020-10-07,174,51,96
2020-10-08,175,64,86
2020-10-09,199,68,95
2020-10-10,223,72,114
2020-10-11,256,73,133
2020-10-12,268,101,120
2020-10-13,317,113,154
2020-10-14,290,106,125
2020-10-15,331,129,139
2020-10-16,358,117,186
2020-10-17,368,148,162
2020-10-18,308,106,144
2020-10-19,360,141,151
2020-10-20,312,124,133
2020-10-21,279,94,124
2020-10-22,256,98,117
2020-10-23,299,128,119
2020-10-24,282,101,145
2020-10-25,300,126,134
2020-10-26,344,142,154
2020-10-27,286,112,113
2020-10-28,283,117,125
2020-10-29,291,120,135
2020-10-30,274,105,128
2020-10-31,260,133,96
2020-11-01,341,180,123
2020-11-02,298,152,104
2020-11-03,299,136,117
2020-11-04,332,151,129
2020-11-05,283,134,115
2020-11-06,284,142,112
2020-11-07,214,102,87
2020-11-08,244,116,95
2020-11-09,262,121,102
2020-11-10,198,87,91
2020-11-11,220,82,109
2020-11-12,198,85,82
2020-11-13,203,92,90
2020-11-14,185,83,86
2020-11-15,148,65,69
2020-11-16,183,80,92
2020-11-17,165,66,76
2020-11-18,128,63,51
2020-11-19,118,59,53
2020-11-20,117,52,52
2020-11-21,74,42,28
2020-11-22,106,56,44
2020-11-23,86,41,34
2020-11-24,66,28,31
2020-11-25,77,46,25
2020-11-26,71,40,21
2020-11-27,46,27,17
2020-11-28,59,35,22
2020-11-29,66,41,15
2020-11-30,60,42,13
2020-12-01,47,35,10
2020-12-02,41,23,9
2020-12-03,46,31,8
2020-12-04,30,18,9
2020-12-05,45,24,14
2020-12-06,38,19,13
2020-12-07,48,26,16
2020-12-08,48,28,15
2020-12-09,47,29,11
2020-12-10,36,20,12
2020-12-11,43,25,14
2020-12-12,45,33,8
2020-12-13,39,27,11
2020-12-14,40,31,9
2020-12-15,43,26,15
2020-12-16,28,19,7
2020-12-17,19,9,6
2020-12-18,27,18,5
2020-12-19,26,16,4
2020-12-20,30,18,8
2020-12-21,28,18,5
2020-12-22,31,18,9
2020-12-23,28,21,5
2020-12-24,34,18,12
