"fecha","Santiago del Estero","Capital","Banda"
2020-01-01,1,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,1,1,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,1,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,2,1,0
2020-02-28,0,0,0
2020-02-29,1,1,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,1,1,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,1,0,0
2020-03-14,0,0,0
2020-03-15,1,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,0,0,0
2020-03-21,1,1,0
2020-03-22,0,0,0
2020-03-23,2,2,0
2020-03-24,1,1,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,1,1,0
2020-03-28,0,0,0
2020-03-29,2,2,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,1,1,0
2020-04-04,0,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,1,1,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,0,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,1,0,0
2020-04-20,0,0,0
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,1,0,0
2020-04-24,1,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,1,0,0
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
2020-05-09,0,0,0
2020-05-10,0,0,0
2020-05-11,0,0,0
2020-05-12,1,0,0
2020-05-13,0,0,0
2020-05-14,2,1,0
2020-05-15,1,0,0
2020-05-16,1,0,0
2020-05-17,3,0,0
2020-05-18,0,0,0
2020-05-19,1,0,0
2020-05-20,0,0,0
2020-05-21,1,0,1
2020-05-22,1,1,0
2020-05-23,0,0,0
2020-05-24,0,0,0
2020-05-25,1,0,0
2020-05-26,0,0,0
2020-05-27,1,1,0
2020-05-28,1,0,0
2020-05-29,1,0,0
2020-05-30,0,0,0
2020-05-31,1,1,0
2020-06-01,0,0,0
2020-06-02,1,0,1
2020-06-03,2,0,0
2020-06-04,1,1,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,1,1,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,1,0,1
2020-06-16,0,0,0
2020-06-17,1,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,1,0,1
2020-06-21,3,2,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,1,0,0
2020-06-25,1,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,4,1,1
2020-06-29,1,0,0
2020-06-30,2,1,0
2020-07-01,1,0,0
2020-07-02,3,1,0
2020-07-03,1,1,0
2020-07-04,2,0,0
2020-07-05,2,0,0
2020-07-06,2,1,1
2020-07-07,2,0,1
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,2,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,2,0,0
2020-07-14,3,1,0
2020-07-15,1,0,1
2020-07-16,1,1,0
2020-07-17,0,0,0
2020-07-18,2,1,0
2020-07-19,1,1,0
2020-07-20,2,0,0
2020-07-21,0,0,0
2020-07-22,1,1,0
2020-07-23,1,1,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,4,1,2
2020-07-28,7,2,4
2020-07-29,5,2,1
2020-07-30,8,5,2
2020-07-31,6,4,2
2020-08-01,16,6,8
2020-08-02,19,11,7
2020-08-03,19,11,8
2020-08-04,15,7,7
2020-08-05,18,12,4
2020-08-06,24,12,10
2020-08-07,9,3,5
2020-08-08,27,18,8
2020-08-09,30,17,7
2020-08-10,23,9,5
2020-08-11,27,18,5
2020-08-12,31,16,10
2020-08-13,28,18,8
2020-08-14,28,18,7
2020-08-15,37,23,6
2020-08-16,31,17,8
2020-08-17,49,27,13
2020-08-18,51,30,13
2020-08-19,41,22,9
2020-08-20,51,16,19
2020-08-21,55,24,21
2020-08-22,46,24,12
2020-08-23,53,27,16
2020-08-24,53,31,10
2020-08-25,45,27,8
2020-08-26,53,31,14
2020-08-27,67,27,20
2020-08-28,63,34,21
2020-08-29,53,30,14
2020-08-30,51,27,15
2020-08-31,42,23,11
2020-09-01,69,33,25
2020-09-02,62,28,18
2020-09-03,72,38,19
2020-09-04,88,51,18
2020-09-05,77,47,19
2020-09-06,68,37,17
2020-09-07,96,50,23
2020-09-08,88,51,22
2020-09-09,79,47,16
2020-09-10,94,62,21
2020-09-11,78,48,20
2020-09-12,78,50,18
2020-09-13,83,54,21
2020-09-14,72,54,11
2020-09-15,78,46,21
2020-09-16,78,47,19
2020-09-17,94,56,22
2020-09-18,107,68,21
2020-09-19,97,64,25
2020-09-20,141,89,33
2020-09-21,129,86,31
2020-09-22,120,70,34
2020-09-23,122,79,24
2020-09-24,124,80,27
2020-09-25,136,82,34
2020-09-26,103,70,21
2020-09-27,124,84,25
2020-09-28,164,110,32
2020-09-29,127,81,23
2020-09-30,112,84,16
2020-10-01,125,88,18
2020-10-02,130,83,26
2020-10-03,106,62,23
2020-10-04,100,71,13
2020-10-05,197,121,31
2020-10-06,234,169,36
2020-10-07,228,156,51
2020-10-08,231,157,39
2020-10-09,272,169,58
2020-10-10,222,145,30
2020-10-11,204,116,50
2020-10-12,244,150,42
2020-10-13,232,143,45
2020-10-14,302,224,49
2020-10-15,250,156,51
2020-10-16,153,100,29
2020-10-17,169,113,29
2020-10-18,227,151,46
2020-10-19,262,165,46
2020-10-20,310,198,52
2020-10-21,290,192,52
2020-10-22,317,182,77
2020-10-23,153,86,34
2020-10-24,199,128,23
2020-10-25,189,114,38
2020-10-26,211,141,30
2020-10-27,246,145,50
2020-10-28,263,138,55
2020-10-29,155,90,28
2020-10-30,137,90,18
2020-10-31,111,67,13
2020-11-01,258,143,33
2020-11-02,239,130,42
2020-11-03,188,96,52
2020-11-04,239,138,46
2020-11-05,266,151,50
2020-11-06,252,143,45
2020-11-07,234,134,40
2020-11-08,224,131,28
2020-11-09,331,183,81
2020-11-10,274,167,36
2020-11-11,293,154,49
2020-11-12,272,133,60
2020-11-13,252,144,63
2020-11-14,180,117,35
2020-11-15,223,121,60
2020-11-16,248,119,59
2020-11-17,160,74,42
2020-11-18,179,83,40
2020-11-19,174,67,33
2020-11-20,181,110,32
2020-11-21,81,40,13
2020-11-22,125,56,18
2020-11-23,151,96,26
2020-11-24,131,42,42
2020-11-25,114,47,29
2020-11-26,136,60,33
2020-11-27,71,39,14
2020-11-28,23,15,4
2020-11-29,28,13,6
2020-11-30,44,29,8
2020-12-01,39,25,3
2020-12-02,30,23,2
2020-12-03,47,23,10
2020-12-04,48,29,8
2020-12-05,33,23,5
2020-12-06,52,38,5
2020-12-07,43,31,5
2020-12-08,38,26,5
2020-12-09,45,31,3
2020-12-10,42,27,7
2020-12-11,63,45,10
2020-12-12,57,37,6
2020-12-13,41,20,5
2020-12-14,38,22,6
2020-12-15,59,41,12
2020-12-16,52,35,9
2020-12-17,53,36,7
2020-12-18,30,23,3
2020-12-19,42,33,4
2020-12-20,63,45,11
2020-12-21,95,62,18
2020-12-22,40,27,8
2020-12-23,44,32,3
2020-12-24,36,23,9
2020-12-25,66,54,3
2020-12-26,109,79,14
