 1, "CONCORDIA", "CONCORDIA", "ENTRE RIOS"
 2, "SAN SALVADOR", "SAN SALVADOR", "ENTRE RIOS"
 3, "COLON", "COLON", "ENTRE RIOS"
 4, "VILLAGUAY", "VILLAGUAY", "ENTRE RIOS"
 5, "FEDERAL", "FEDERAL", "ENTRE RIOS"
 6, "NOGOYA", "NOGOYA", "ENTRE RIOS"
 7, "TALA", "RISARIO DEL TALA", "ENTRE RIOS"
 8, "GUALEGUAYCHU", "GUALEGUAYCHU", "ENTRE RIOS"
 9, "ISLAS DEL IBICUY", "VILLA PARANACITO", "ENTRE RIOS"
 10, "GUALEGUAY", "GUALEGUAY", "ENTRE RIOS"
 11, "FEDERACION", "FEDERACION", "ENTRE RIOS"
 12, "LA PAZ", "LA PAZ", "ENTRE RIOS"
 13, "FELICIANO", "SAN JOSE DE FELICIANO", "ENTRE RIOS"
 14, "VICTORIA", "VICTORIA", "ENTRE RIOS"
 15, "DIAMANTE", "DIAMANTE", "ENTRE RIOS"
 16, "URUGUAY", "CONCEPCI\u00d2N DEL URUGUAY", "ENTRE RIOS"
 17, "PARANA", "PARANA", "ENTRE RIOS"
 18, "CAINGUAS", "CAMPO GRANDE", "MISIONES"
 19, "LEANDRO N. ALEM", "LEANDRO N. ALEM", "MISIONES"
 20, "APOSTOLES", "APOSTOLES", "MISIONES"
 21, "CANDELARIA", "SANTA ANA", "MISIONES"
 22, "MONTECARLO", "MONTECARLO", "MISIONES"
 23, "LIBERTADOR GENERAL SAN MARTIN", "PUERTO RICO", "MISIONES"
 24, "CAPITAL", "POSADAS", "MISIONES"
 25, "ELDORADO", "ELDORADO", "MISIONES"
 26, "SAN PEDRO", "SAN PEDRO", "MISIONES"
 27, "MERCEDES", "MERCEDES", "CORRIENTES"
 28, "CONCEPCION", "CONCEPCION", "CORRIENTES"
 29, "SAN ROQUE", "SAN ROQUE", "CORRIENTES"
 30, "SALADAS", "SALADAS", "CORRIENTES"
 31, "MBURUCUYA", "MBURUCUYA", "CORRIENTES"
 32, "SAN LUIS DEL PALMAR", "SAN LUIS DEL PALMAR", "CORRIENTES"
 33, "CAPITAL", "CORRIENTES", "CORRIENTES"
 34, "ITATI", "ITATI", "CORRIENTES"
 35, "BERON DE ASTRADA", "BERON DE ASTRADA", "CORRIENTES"
 36, "GENERAL PAZ", "NUESTRA SE\u00a5ORA DEL ROSARIO DE CAA CATI", "CORRIENTES"
 37, "SANTO TOME", "SANTO TOME", "CORRIENTES"
 38, "GENERAL ALVEAR", "GENERAL ALVEAR", "CORRIENTES"
 39, "SAN MARTIN", "LA CRUZ", "CORRIENTES"
 40, "PASO DE LOS LIBRES", "PASO DE LOS LIBRES", "CORRIENTES"
 41, "MONTE CASEROS", "MONTE CASEROS", "CORRIENTES"
 42, "CURUZU CUATIA", "CURUZU CUATIA", "CORRIENTES"
 43, "SAUCE", "SAUCE", "CORRIENTES"
 44, "ESQUINA", "ESQUINA", "CORRIENTES"
 45, "ITUZAINGO", "ITUZAINGO", "CORRIENTES"
 46, "SAN MIGUEL", "SAN MIGUEL", "CORRIENTES"
 47, "GOYA", "GOYA", "CORRIENTES"
 48, "LAVALLE", "LAVALLE", "CORRIENTES"
 49, "BELLA VISTA", "BELLA VISTA", "CORRIENTES"
 50, "EMPEDRADO", "EMPEDRADO", "CORRIENTES"
 51, "ARRECIFES", "ARRECIFES", "BUENOS AIRES"
 52, "ROJAS", "ROJAS", "BUENOS AIRES"
 53, "SAN ANTONIO DE ARECO", "SAN ANTONIO DE ARECO", "BUENOS AIRES"
 54, "CAPITAN SARMIENTO", "CAPITAN SARMIENTO", "BUENOS AIRES"
 55, "SALTO", "SALTO", "BUENOS AIRES"
 56, "EXALTACION DE LA CRUZ", "CAPILLA DEL SE\u00d1OR", "BUENOS AIRES"
 57, "CARMEN DE ARECO", "CARMEN DE ARECO", "BUENOS AIRES"
 58, "ESCOBAR", "BELEN DE ESCOBAR", "BUENOS AIRES"
 59, "SAN ANDRES DE GILES", "SAN ANDRES DE GILES", "BUENOS AIRES"
 60, "JUNIN", "JUNIN", "BUENOS AIRES"
 61, "PILAR", "PILAR", "BUENOS AIRES"
 62, "LUJAN", "LUJAN", "BUENOS AIRES"
 63, "CHACABUCO", "CHACABUCO", "BUENOS AIRES"
 64, "MALVINAS ARGENTINAS", "LOS POLVORINES", "BUENOS AIRES"
 65, "JOSE C PAZ", "JOSE C. PAZ", "BUENOS AIRES"
 66, "GENERAL SAN MARTIN", "GENERAL SAN MARTIN", "BUENOS AIRES"
 67, "SAN MIGUEL", "SAN MIGUEL", "BUENOS AIRES"
 68, "MERCEDES", "MERCEDES", "BUENOS AIRES"
 69, "MORENO", "MARIANO MORENO", "BUENOS AIRES"
 70, "GENERAL RODRIGUEZ", "GENERAL RODRIGUEZ", "BUENOS AIRES"
 71, "SUIPACHA", "SUIPACHA", "BUENOS AIRES"
 72, "TRES DE FEBRERO", "CASEROS", "BUENOS AIRES"
 73, "HURLINGHAM", "HURLUNGHAM", "BUENOS AIRES"
 74, "MORON", "MORON", "BUENOS AIRES"
 75, "LINCOLN", "LINCOLN", "BUENOS AIRES"
 76, "ITUZAINGO", "ITUZAINGO", "BUENOS AIRES"
 77, "FLORENTINO AMEGHINO", "FLORENTINO AMEGHINO", "BUENOS AIRES"
 78, "LA MATANZA", "SAN JUSTO", "BUENOS AIRES"
 79, "MERLO", "MERLO", "BUENOS AIRES"
 80, "CHIVILCOY", "CHIVILCOY", "BUENOS AIRES"
 81, "BRAGADO", "BRAGADO", "BUENOS AIRES"
 82, "LANUS", "LANUS", "BUENOS AIRES"
 83, "MARCOS PAZ", "MARCOS PAZ", "BUENOS AIRES"
 84, "LOMAS DE ZAMORA", "LOMAS DE ZAMORA", "BUENOS AIRES"
 85, "GENERAL VIAMONTE", "GENERAL VIAMONTE", "BUENOS AIRES"
 86, "GENERAL LAS HERAS", "LAS HERAS", "BUENOS AIRES"
 87, "ESTEBAN ECHEVERRIA", "MONTE GRANDE", "BUENOS AIRES"
 88, "EZEIZA", "JOSE MARIA EZEIZA", "BUENOS AIRES"
 89, "ALMIRANTE BROWN", "ADROGUE", "BUENOS AIRES"
 90, "ALBERTI", "ALBERTI", "BUENOS AIRES"
 91, "FLORENCIO VARELA", "FLORENCIO VARELA", "BUENOS AIRES"
 92, "NAVARRO", "NAVARRO", "BUENOS AIRES"
 93, "LA PLATA", "LA PLATA", "BUENOS AIRES"
 94, "PRESIDENTE PERON", "GUERNICA", "BUENOS AIRES"
 95, "CA\u00d1UELAS", "CANUELAS", "BUENOS AIRES"
 96, "SAN VICENTE", "SAN VICENTE", "BUENOS AIRES"
 97, "LOBOS", "LOBOS", "BUENOS AIRES"
 98, "BRANDSEN", "BRANDSEN", "BUENOS AIRES"
 99, "CARLOS TEJEDOR", "CARLOS TEJEDOR", "BUENOS AIRES"
 100, "25 DE MAYO", "25 DE MAYO", "BUENOS AIRES"
 101, "9 DE JULIO", "9 DE JULIO", "BUENOS AIRES"
 102, "GENERAL PAZ", "RANCHOS", "BUENOS AIRES"
 103, "MONTE", "SAN MIGUEL DEL MONTE", "BUENOS AIRES"
 104, "ROQUE PEREZ", "ROQUE PEREZ", "BUENOS AIRES"
 105, "CARLOS CASARES", "CARLOS CASARES", "BUENOS AIRES"
 106, "SALADILLO", "SALADILLO", "BUENOS AIRES"
 107, "PEHUAJO", "PEHUAJO", "BUENOS AIRES"
 108, "TRENQUE LAUQUEN", "TRENQUE LAUQUEN", "BUENOS AIRES"
 109, "GENERAL BELGRANO", "GENERAL BELGRANO", "BUENOS AIRES"
 110, "LAS FLORES", "LAS FLORES", "BUENOS AIRES"
 111, "GENERAL ALVEAR", "GENERAL ALVEAR", "BUENOS AIRES"
 112, "PILA", "PILA", "BUENOS AIRES"
 113, "BOLIVAR", "SAN CARLOS DE BOLIVAR", "BUENOS AIRES"
 114, "TAPALQUE", "TAPLQUEN", "BUENOS AIRES"
 115, "HIPOLITO YRIGOYEN", "HENDERSON", "BUENOS AIRES"
 116, "DOLORES", "DOLORES", "BUENOS AIRES"
 117, "RAUCH", "RAUCH", "BUENOS AIRES"
 118, "AZUL", "AZUL", "BUENOS AIRES"
 119, "DAIREAUX", "DAIREAUX", "BUENOS AIRES"
 120, "TRES LOMAS", "TRES LOMAS", "BUENOS AIRES"
 121, "GENERAL GUIDO", "GENERAL GUIDO", "BUENOS AIRES"
 122, "OLAVARRIA", "OLAVARRIA", "BUENOS AIRES"
 123, "AYACUCHO", "AYACUCHO", "BUENOS AIRES"
 124, "GUAMINI", "GUAMINI", "BUENOS AIRES"
 125, "SALLIQUELO", "SALLIQUELLO", "BUENOS AIRES"
 126, "MAIPU", "MAIPU", "BUENOS AIRES"
 127, "GENERAL JUAN MADARIAGA", "GENERAL JUAN MADARIAGA", "BUENOS AIRES"
 128, "TANDIL", "TANDIL", "BUENOS AIRES"
 129, "GENERAL LA MADRID", "GENERAL LA MADRID", "BUENOS AIRES"
 130, "CORONEL SUAREZ", "CORONEL SUAREZ", "BUENOS AIRES"
 131, "LAPRIDA", "LAPRIDA", "BUENOS AIRES"
 132, "BENITO JUAREZ", "BENITO JUAREZ", "BUENOS AIRES"
 133, "SAAVEDRA", "PIG\u009aE", "BUENOS AIRES"
 134, "BALCARCE", "BALCARCE", "BUENOS AIRES"
 135, "ADOLFO GONZALES CHAVES", "GONZALES CHAVES", "BUENOS AIRES"
