ID,DEPARTAMENTO,CABECERA,PROVINCIA,385
1,"SANSALVADOR","SANSALVADOR","ENTRERIOS",940
2,"VILLAGUAY","VILLAGUAY","ENTRERIOS",3493
3,"COLON","COLON","ENTRERIOS",449
4,"FEDERAL","FEDERAL","ENTRERIOS",20662
5,"CAPITAL","CORRIENTES","CORRIENTES",39316
6,"ALMIRANTEBROWN","ADROGUE","BUENOSAIRES",1027
7,"NOGOYA","NOGOYA","ENTRERIOS",183
8,"ITATI","ITATI","CORRIENTES",604
9,"ATREUCO","MACACHIN","LAPAMPA",724
10,"TALA","RISARIODELTALA","ENTRERIOS",110
11,"CAINGUAS","CAMPOGRANDE","MISIONES",323
12,"LEANDRON.ALEM","LEANDRON.ALEM","MISIONES",1791
13,"PRESIDENTEROQUESAENZPENA","LABOULAYE","CORDOBA",6510
14,"GUALEGUAYCHU","GUALEGUAYCHU","ENTRERIOS",53
15,"BERONDEASTRADA","BERONDEASTRADA","CORRIENTES",915
16,"QUITILIPI","QUITILIPI","CHACO",522
17,"ISLASDELIBICUY","VILLAPARANACITO","ENTRERIOS",1527
18,"GUALEGUAY","GUALEGUAY","ENTRERIOS",3117
19,"FEDERACION","FEDERACION","ENTRERIOS",1960
20,"LAPAZ","LAPAZ","ENTRERIOS",260
21,"FELICIANO","SANJOSEDEFELICIANO","ENTRERIOS",326
22,"GENERALPAZ","NUESTRASEYORADELROSARIODECAACATI","CORRIENTES",192
23,"PRESIDENCIADELAPLAZA","PRESIDENCIADELAPLAZA","CHACO",1325
24,"VICTORIA","VICTORIA","ENTRERIOS",129
25,"SANLORENZO","VILLABERTHET","CHACO",378
26,"CAPAYAN","HUILLAPIMA","CATAMARCA",1928
27,"DIAMANTE","DIAMANTE","ENTRERIOS",439
28,"MONTECARLO","MONTECARLO","MISIONES",43606
29,"LAPLATA","LAPLATA","BUENOSAIRES",79
30,"CORONELFELIPEVARELA","VILLAUNION","LARIOJA",4775
31,"URUGUAY","CONCEPCIONDELURUGUAY","ENTRERIOS",5443
32,"PRESIDENTEPERON","GUERNICA","BUENOSAIRES",16455
33,"PARANA","PARANA","ENTRERIOS",1093
34,"MERCEDES","MERCEDES","CORRIENTES",358
35,"APOSTOLES","APOSTOLES","MISIONES",196
36,"CANDELARIA","SANTAANA","MISIONES",1349
37,"CARLOSCASARES","CARLOSCASARES","BUENOSAIRES",2337
38,"SALADILLO","SALADILLO","BUENOSAIRES",0
39,"LIBERTADORGENERALSANMARTIN","PUERTORICO","MISIONES",7255
40,"CAPITAL","POSADAS","MISIONES",102
41,"CONCEPCION","CONCEPCION","CORRIENTES",620
42,"O'HIGGINS","SANBERNARDO","CHACO",1818
43,"ELDORADO","ELDORADO","MISIONES",404
44,"SANROQUE","SANROQUE","CORRIENTES",198
45,"SALADAS","SALADAS","CORRIENTES",64
46,"MBURUCUYA","MBURUCUYA","CORRIENTES",391
47,"SANLUISDELPALMAR","SANLUISDELPALMAR","CORRIENTES",189
48,"SANPEDRO","SANPEDRO","MISIONES",1139
49,"SANTOTOME","SANTOTOME","CORRIENTES",1643
50,"PEHUAJO","PEHUAJO","BUENOSAIRES",2622
51,"TRENQUELAUQUEN","TRENQUELAUQUEN","BUENOSAIRES",1156
52,"GENERALBELGRANO","GENERALBELGRANO","BUENOSAIRES",1103
53,"LASFLORES","LASFLORES","BUENOSAIRES",55
54,"GENERALALVEAR","GENERALALVEAR","CORRIENTES",168
55,"SANMARTIN","LACRUZ","CORRIENTES",1682
56,"PASODELOSLIBRES","PASODELOSLIBRES","CORRIENTES",780
57,"MONTECASEROS","MONTECASEROS","CORRIENTES",105
58,"GENERALGUIDO","GENERALGUIDO","BUENOSAIRES",667
59,"CURUZUCUATIA","CURUZUCUATIA","CORRIENTES",30
60,"SAUCE","SAUCE","CORRIENTES",819
61,"ESQUINA","ESQUINA","CORRIENTES",969
62,"ITUZAINGO","ITUZAINGO","CORRIENTES",6576
63,"OLAVARRIA","OLAVARRIA","BUENOSAIRES",110
64,"SANMIGUEL","SANMIGUEL","CORRIENTES",1299
65,"GOYA","GOYA","CORRIENTES",262
66,"LAVALLE","LAVALLE","CORRIENTES",786
67,"BELLAVISTA","BELLAVISTA","CORRIENTES",272
68,"EMPEDRADO","EMPEDRADO","CORRIENTES",1892
69,"ROJAS","ROJAS","BUENOSAIRES",1327
70,"SANANTONIODEARECO","SANANTONIODEARECO","BUENOSAIRES",573
71,"MAIPU","MAIPU","BUENOSAIRES",888
72,"9DEJULIO","LASBRENAS","CHACO",2313
73,"ARRECIFES","ARRECIFES","BUENOSAIRES",252
74,"2DEABRIL","HERMOSOCAMPO","CHACO",964
75,"CAPITANSARMIENTO","CAPITANSARMIENTO","BUENOSAIRES",777
76,"CARMENDEARECO","CARMENDEARECO","BUENOSAIRES",2987
77,"PINAMAR","PINAMAR","BUENOSAIRES",1744
78,"SALTO","SALTO","BUENOSAIRES",1948
79,"EXALTACIONDELACRUZ","CAPILLADELSENOR","BUENOSAIRES",44
80,"TAPENAGA","CHARADAI","CHACO",16575
81,"ESCOBAR","BELENDEESCOBAR","BUENOSAIRES",22643
82,"SANMIGUEL","SANMIGUEL","BUENOSAIRES",1038
83,"SANANDRESDEGILES","SANANDRESDEGILES","BUENOSAIRES",8287
84,"JUNIN","JUNIN","BUENOSAIRES",3659
85,"MERCEDES","MERCEDES","BUENOSAIRES",1090
86,"GENERALVILLEGAS","GENERALVILLEGAS","BUENOSAIRES",27481
87,"PILAR","PILAR","BUENOSAIRES",8552
88,"LUJAN","LUJAN","BUENOSAIRES",12619
89,"HURLINGHAM","HURLUNGHAM","BUENOSAIRES",23605
90,"MORON","MORON","BUENOSAIRES",3547
91,"CHACABUCO","CHACABUCO","BUENOSAIRES",21683
92,"MALVINASARGENTINAS","LOSPOLVORINES","BUENOSAIRES",0
