ID,DEPARTAMENTO,CABECERA,PROVINCIA
1,"SANSALVADOR","SANSALVADOR","ENTRERIOS"
2,"VILLAGUAY","VILLAGUAY","ENTRERIOS"
3,"COLON","COLON","ENTRERIOS"
4,"FEDERAL","FEDERAL","ENTRERIOS"
5,"CAPITAL","CORRIENTES","CORRIENTES"
6,"ALMIRANTEBROWN","ADROGUE","BUENOSAIRES"
7,"NOGOYA","NOGOYA","ENTRERIOS"
8,"ITATI","ITATI","CORRIENTES"
9,"ATREUCO","MACACHIN","LAPAMPA"
10,"TALA","RISARIODELTALA","ENTRERIOS"
11,"CAINGUAS","CAMPOGRANDE","MISIONES"
12,"LEANDRON.ALEM","LEANDRON.ALEM","MISIONES"
13,"PRESIDENTEROQUESAENZPENA","LABOULAYE","CORDOBA"
14,"GUALEGUAYCHU","GUALEGUAYCHU","ENTRERIOS"
15,"BERONDEASTRADA","BERONDEASTRADA","CORRIENTES"
16,"QUITILIPI","QUITILIPI","CHACO"
17,"ISLASDELIBICUY","VILLAPARANACITO","ENTRERIOS"
18,"GUALEGUAY","GUALEGUAY","ENTRERIOS"
19,"FEDERACION","FEDERACION","ENTRERIOS"
20,"LAPAZ","LAPAZ","ENTRERIOS"
21,"FELICIANO","SANJOSEDEFELICIANO","ENTRERIOS"
22,"GENERALPAZ","NUESTRASEYORADELROSARIODECAACATI","CORRIENTES"
23,"PRESIDENCIADELAPLAZA","PRESIDENCIADELAPLAZA","CHACO"
24,"VICTORIA","VICTORIA","ENTRERIOS"
25,"SANLORENZO","VILLABERTHET","CHACO"
26,"CAPAYAN","HUILLAPIMA","CATAMARCA"
27,"DIAMANTE","DIAMANTE","ENTRERIOS"
28,"MONTECARLO","MONTECARLO","MISIONES"
29,"LAPLATA","LAPLATA","BUENOSAIRES"
30,"CORONELFELIPEVARELA","VILLAUNION","LARIOJA"
31,"URUGUAY","CONCEPCIONDELURUGUAY","ENTRERIOS"
32,"PRESIDENTEPERON","GUERNICA","BUENOSAIRES"
33,"PARANA","PARANA","ENTRERIOS"
34,"MERCEDES","MERCEDES","CORRIENTES"
35,"APOSTOLES","APOSTOLES","MISIONES"
36,"CANDELARIA","SANTAANA","MISIONES"
37,"CARLOSCASARES","CARLOSCASARES","BUENOSAIRES"
38,"SALADILLO","SALADILLO","BUENOSAIRES"
39,"LIBERTADORGENERALSANMARTIN","PUERTORICO","MISIONES"
40,"CAPITAL","POSADAS","MISIONES"
41,"CONCEPCION","CONCEPCION","CORRIENTES"
42,"O'HIGGINS","SANBERNARDO","CHACO"
43,"ELDORADO","ELDORADO","MISIONES"
44,"SANROQUE","SANROQUE","CORRIENTES"
45,"SALADAS","SALADAS","CORRIENTES"
46,"MBURUCUYA","MBURUCUYA","CORRIENTES"
47,"SANLUISDELPALMAR","SANLUISDELPALMAR","CORRIENTES"
48,"SANPEDRO","SANPEDRO","MISIONES"
49,"SANTOTOME","SANTOTOME","CORRIENTES"
50,"PEHUAJO","PEHUAJO","BUENOSAIRES"
51,"TRENQUELAUQUEN","TRENQUELAUQUEN","BUENOSAIRES"
52,"GENERALBELGRANO","GENERALBELGRANO","BUENOSAIRES"
53,"LASFLORES","LASFLORES","BUENOSAIRES"
54,"GENERALALVEAR","GENERALALVEAR","CORRIENTES"
55,"SANMARTIN","LACRUZ","CORRIENTES"
56,"PASODELOSLIBRES","PASODELOSLIBRES","CORRIENTES"
57,"MONTECASEROS","MONTECASEROS","CORRIENTES"
58,"GENERALGUIDO","GENERALGUIDO","BUENOSAIRES"
59,"CURUZUCUATIA","CURUZUCUATIA","CORRIENTES"
60,"SAUCE","SAUCE","CORRIENTES"
61,"ESQUINA","ESQUINA","CORRIENTES"
62,"ITUZAINGO","ITUZAINGO","CORRIENTES"
63,"OLAVARRIA","OLAVARRIA","BUENOSAIRES"
64,"SANMIGUEL","SANMIGUEL","CORRIENTES"
65,"GOYA","GOYA","CORRIENTES"
66,"LAVALLE","LAVALLE","CORRIENTES"
67,"BELLAVISTA","BELLAVISTA","CORRIENTES"
68,"EMPEDRADO","EMPEDRADO","CORRIENTES"
69,"ROJAS","ROJAS","BUENOSAIRES"
70,"SANANTONIODEARECO","SANANTONIODEARECO","BUENOSAIRES"
71,"MAIPU","MAIPU","BUENOSAIRES"
72,"9DEJULIO","LASBRENAS","CHACO"
73,"ARRECIFES","ARRECIFES","BUENOSAIRES"
74,"2DEABRIL","HERMOSOCAMPO","CHACO"
75,"CAPITANSARMIENTO","CAPITANSARMIENTO","BUENOSAIRES"
76,"CARMENDEARECO","CARMENDEARECO","BUENOSAIRES"
77,"PINAMAR","PINAMAR","BUENOSAIRES"
78,"SALTO","SALTO","BUENOSAIRES"
79,"EXALTACIONDELACRUZ","CAPILLADELSENOR","BUENOSAIRES"
80,"TAPENAGA","CHARADAI","CHACO"
81,"ESCOBAR","BELENDEESCOBAR","BUENOSAIRES"
82,"SANMIGUEL","SANMIGUEL","BUENOSAIRES"
83,"SANANDRESDEGILES","SANANDRESDEGILES","BUENOSAIRES"
84,"JUNIN","JUNIN","BUENOSAIRES"
85,"MERCEDES","MERCEDES","BUENOSAIRES"
86,"GENERALVILLEGAS","GENERALVILLEGAS","BUENOSAIRES"
87,"PILAR","PILAR","BUENOSAIRES"
88,"LUJAN","LUJAN","BUENOSAIRES"
89,"HURLINGHAM","HURLUNGHAM","BUENOSAIRES"
90,"MORON","MORON","BUENOSAIRES"
91,"CHACABUCO","CHACABUCO","BUENOSAIRES"
92,"MALVINASARGENTINAS","LOSPOLVORINES","BUENOSAIRES"
93,"JOSECPAZ","JOSEC.PAZ","BUENOSAIRES"
94,"GENERALSANMARTIN","GENERALSANMARTIN","BUENOSAIRES"
95,"MORENO","MARIANOMORENO","BUENOSAIRES"
96,"LINCOLN","LINCOLN","BUENOSAIRES"
97,"ITUZAINGO","ITUZAINGO","BUENOSAIRES"
98,"FLORENTINOAMEGHINO","FLORENTINOAMEGHINO","BUENOSAIRES"
99,"LAMATANZA","SANJUSTO","BUENOSAIRES"
100,"RIVADAVIA","RIVADAVIA","SANJUAN"
101,"GENERALRODRIGUEZ","GENERALRODRIGUEZ","BUENOSAIRES"
102,"SUIPACHA","SUIPACHA","BUENOSAIRES"
103,"TRESDEFEBRERO","CASEROS","BUENOSAIRES"
104,"MERLO","MERLO","BUENOSAIRES"
105,"CHIVILCOY","CHIVILCOY","BUENOSAIRES"
106,"BRAGADO","BRAGADO","BUENOSAIRES"
107,"LANUS","LANUS","BUENOSAIRES"
108,"GENERALLASHERAS","LASHERAS","BUENOSAIRES"
109,"MARCOSPAZ","MARCOSPAZ","BUENOSAIRES"
110,"LOMASDEZAMORA","LOMASDEZAMORA","BUENOSAIRES"
111,"GENERALVIAMONTE","GENERALVIAMONTE","BUENOSAIRES"
112,"ESTEBANECHEVERRIA","MONTEGRANDE","BUENOSAIRES"
113,"EZEIZA","JOSEMARIAEZEIZA","BUENOSAIRES"
114,"ALBERTI","ALBERTI","BUENOSAIRES"
115,"FLORENCIOVARELA","FLORENCIOVARELA","BUENOSAIRES"
116,"NAVARRO","NAVARRO","BUENOSAIRES"
117,"SANTALUCIA","SANTALUCIA","SANJUAN"
118,"CANUELAS","CANUELAS","BUENOSAIRES"
119,"SANVICENTE","SANVICENTE","BUENOSAIRES"
120,"LOBOS","LOBOS","BUENOSAIRES"
121,"BRANDSEN","BRANDSEN","BUENOSAIRES"
122,"CARLOSTEJEDOR","CARLOSTEJEDOR","BUENOSAIRES"
123,"25DEMAYO","25DEMAYO","BUENOSAIRES"
124,"9DEJULIO","9DEJULIO","BUENOSAIRES"
125,"GENERALPAZ","RANCHOS","BUENOSAIRES"
126,"MONTE","SANMIGUELDELMONTE","BUENOSAIRES"
127,"ROQUEPEREZ","ROQUEPEREZ","BUENOSAIRES"
128,"GENERALALVEAR","GENERALALVEAR","BUENOSAIRES"
129,"QUILMES","QUILMES","BUENOSAIRES"
130,"PILA","PILA","BUENOSAIRES"
131,"GENERALLAMADRID","GENERALLAMADRID","BUENOSAIRES"
132,"BOLIVAR","SANCARLOSDEBOLIVAR","BUENOSAIRES"
133,"BALCARCE","BALCARCE","BUENOSAIRES"
134,"VICENTELOPEZ","OLIVOS","BUENOSAIRES"
135,"CAPITAL","SANJUAN","SANJUAN"
136,"TAPALQUE","TAPLQUEN","BUENOSAIRES"
137,"HIPOLITOYRIGOYEN","HENDERSON","BUENOSAIRES"
138,"DOLORES","DOLORES","BUENOSAIRES"
139,"RAUCH","RAUCH","BUENOSAIRES"
140,"AZUL","AZUL","BUENOSAIRES"
141,"DAIREAUX","DAIREAUX","BUENOSAIRES"
142,"TRESLOMAS","TRESLOMAS","BUENOSAIRES"
143,"AYACUCHO","AYACUCHO","BUENOSAIRES"
144,"GUAMINI","GUAMINI","BUENOSAIRES"
145,"SALLIQUELO","SALLIQUELLO","BUENOSAIRES"
146,"GENERALJUANMADARIAGA","GENERALJUANMADARIAGA","BUENOSAIRES"
147,"ENSENADA","ENSENADA","BUENOSAIRES"
148,"BERAZATEGUI","BERAZATEGUI","BUENOSAIRES"
149,"TANDIL","TANDIL","BUENOSAIRES"
150,"GUAYMALLEN","VILLANUEVA","MENDOZA"
151,"CORONELSUAREZ","CORONELSUAREZ","BUENOSAIRES"
152,"LAPRIDA","LAPRIDA","BUENOSAIRES"
153,"AVELLANEDA","AVELLANEDA","BUENOSAIRES"
154,"SANISIDRO","SANISIDRO","BUENOSAIRES"
155,"BENITOJUAREZ","BENITOJUAREZ","BUENOSAIRES"
156,"SAAVEDRA","PIGUE","BUENOSAIRES"
157,"ADOLFOGONZALESCHAVES","GONZALESCHAVES","BUENOSAIRES"
158,"CORONELPRINGLES","CORONELPRINGLES","BUENOSAIRES"
159,"TORNQUIST","TORNQUIST","BUENOSAIRES"
