Localidad,Fecha,RHO7,IA14,riesgox10,file,lat,lon,label
ChubutBiedma,2021-10-12,0,1.72176308539945,0,
JujuyLedesma,2021-10-13,0.285714285714286,3.35912394047632,0.95974969727895,RiesgoJujuyLedesma,-23.8152603,-64.8079313,"Ledesma"
JujuySusques,2021-10-13,0,0,0,RiesgoJujuySusques,-23.4166467,-66.4921092,"Susques"
MisionesIguazú,2021-10-11,0.714285714285714,1.00151228354816,0.715365916820113,RiesgoMisionesIguazú,-25.8565129,-54.6941943,"Iguazu"
MisionesOberá,2021-10-11,0.857142857142857,0.821510429074897,0.704151796349912,RiesgoMisionesOberá,-27.6362979,-58.082509,"Obera"
NeuquénLoncopué,2021-10-15,0,12.7258844489692,0,RiesgoNeuquénLoncopué, -38.0711421,-70.6204517,"Loncopué"
MendozaSanMartin,2021-10-13,0.428571428571429,4.44434568120708,1.90471957766018,RiesgoMendozaSanMartin,-32.9510065,-68.5505277,"San Martín"
SanLuisPedernera,2021-10-08,0.214285714285714,7.56164458895587,1.62035241191912,RiesgoSanLuisPedernera,-33.8239259,-66.1295209,"General Pedernera"
SantaCruzGuerAike,2021-10-12,0.285714285714286,9.32875984901761,2.66535995686217,RiesgoSantaCruzGuerAike,-51.5300107,-71.5100197, "Guer Aike"
TierradelFuegoRioGra,2021-10-12,0.714285714285714,3.12861746394268,2.23472675995906,RiesgoTierradelFuegoRioGrande, -53.5996963,-68.5758622, "Rio Grande"
FormosaPilcomayo,2021-10-09,1.28571428571429,3.09348512033657,3.97733801186131,
SanJuanChimbas,2021-10-11,0.428571428571429,8.44063886257702,3.61741665539015,RiesgoSanJuanChimbas,-31.4948723,-68.6028981,"Chimbas"
SanLuisLuis,2021-10-08,0.745238095238095,5.7049778882926,4.25156685484663,RiesgoSanLuisLuis,-33.921163,-67.2550755,"Provincia de San Luis"
SantiagodelEsteroBan,2021-10-11,1.19047619047619,4.89685988859644,5.82959510547195,RiesgoSantiagodelEsteroBanda,-27.4291117,-64.5404382,"Banda"
MisionesMisiones,2021-10-11,1.23109430252287,5.2327213163624,6.44197339926375,RiesgoMisionesMisiones,-26.8225551,-55.9714599,"Provincia de Misiones"
SanLuisCapital,2021-10-08,1,6.9985344245558,6.9985344245558,RiesgoSanLuisCapital,-33.2975802,-66.344685,"La Capital"
SantaFeGeneralLopez,2021-10-15,1.30952380952381,4.71809389006841,6.1784562846134,RiesgoSantaFeGeneralLopez,-33.8825519,-62.5690804,"General López"
MisionesCapital,2021-10-11,1.11666666666667,7.26932023778754,8.11740759886275,RiesgoMisionesCapital,-27.5366746,-55.9740635,"Capital"
SantaCruzLagoArgenti,2021-10-12,0.285714285714286,29.4695481335953,8.41987089531294,RiesgoSantaCruzLagoArgentino,-49.6514671,-73.2083474, "Lago Argentino"
SantaFeCaseros,2021-10-15,1.33333333333333,6.7191506993516,8.95886759913547,RiesgoSantaFeCaseros,-33.198346,-61.8877896,"Caseros"
SantaFeLaCapital,2021-10-15,1.625,5.14255152836631,8.35664623359526,RiesgoSantaFeLaCapital,-31.4867324,-61.2108177,"Santa Fe Capital"
MendozaGuaymallen,2021-10-13,0.62891156462585,15.0390413513481,9.4582270267492,RiesgoMendozaGuaymallen,-32.8845844,-68.7971906,"Guaymallén"
MendozaMendoza,2021-10-13,0.860097189033557,11.4553407511689,9.85270637950192,RiesgoMendozaMendoza,-34.7458018,-70.7857446,"Provincia de Mandoza"
SaltaGuemes,2021-10-15,0.857142857142857,10.8673996123961,9.31491395348236,RiesgoSaltaGuemes,-24.6684902,-65.0658214,"General Guemes"
SantaCruzSantaCruz,2021-10-12,0.621932036217751,15.860081269244,9.86389263835994,RiesgoSantaCruzSantaCruz,-49.1688398,-71.8773447,"Provincia de Santa Cruz"
JujuyCarmen,2021-10-13,0.89047619047619,12.0102601937083,10.6948507439212,RiesgoJujuyCarmen,-24.3889228,-65.2707451,"El Carmen"
EntreRiosConcordia,2021-10-15,2.67857142857143,4.70915721782992,12.6138139763301,
FormosaFormosa,2021-10-09,0.980169037311895,12.8969972105637,12.6412373400925,RiesgoFormosaFormosa,-24.6611626,-61.074334,"Provincia de Formosa"
EntreRiosRíos,2021-10-15,1.11824434969809,12.9873784327265,14.5230625497872,
JujuyJujuy,2021-10-13,0.755647959857079,19.5879779109876,14.8016155461633,RiesgoJujuyJujuy,-24.2053236,-65.3755957,"Provincia de Jujuy"
LaMatanza,2021-10-17,0.988374623035295,16.1319028543824,15.9443634025422,RiesgoLaMatanza,-34.762205,-58.626420,"La Matanza"
SantaFeSantaFe,2021-10-15,1.23287197223785,12.6116313173386,15.5485267753439,RiesgoSantaFeSantaFe,-31.1238857,-65.3962056,"Provincia de Santa Fe"
EntreRiosParaná,2021-10-15,1.12119963369963,14.8575794880503,16.6583126796651,
EntreRiosGualeguaych,2021-10-15,0.803684807256236,21.7337057578221,17.467049122939,
JujuyManuel,2021-10-13,0.620861678004535,27.5240349587625,17.0886185299528,RiesgoJujuyManuel,-24.0763744,-65.6877148,"Dr. Manuel Belgrano"
LaRiojaChamical,2021-10-14,0.714285714285714,25.5362614913177,18.2401867795126,
SanJuanJuan,2021-10-11,1.39693184966294,13.0565515087357,18.2391126493177,RiesgoSanJuanJuan,-31.5317707,-68.5676962,"Provincia de Sanjuan"
BahíaBlanca,2021-10-17,0.95832560296846,19.9938728454183,19.1606402502603,RiesgoBahíaBlanca,-38.7212086,-62.3265846,"Bahía Blanca"
ChubutChubut,2021-10-12,0.992403723415083,19.2247420815064,19.0787056233816,RiesgoChubutChubut,-43.9710383,-70.1286639,"Provincia de Chubut"
SaltaOran,2021-10-15,1.26388888888889,15.3787478008391,19.4370284705049,RiesgoSaltaOran,-23.1378208,-64.349779,"San Ramon de la Nueva Oran"
TucumanCruzAlta,2021-10-15,0.603806427490638,32.753177513124,19.7765791031661,RiesgoTucumanCruzAlta,-26.9086878,-65.1323881,"Cruz Alta"
ChubutEscalante,2021-10-12,0.805555555555556,26.0242238595204,20.9639581090581,
SantiagodelEsterodel,2021-10-11,1.62321394512903,12.4704465748692,20.2422027823142,RiesgoSantiagodelEsterodel,-27.8016345,-64.3020677,"Provincia de Santiago del Estero"
CórdobaColón,2021-10-15,1.16317016317016,18.5498643541169,21.5766487475626,RiesgoCórdobaColón,-31.1730901,-64.4266507,"Colón"
TucumanTafiViejo,2021-10-15,0.706905197976627,30.6419488279455,21.6609529026084,RiesgoTucumanTafiViejo,-26.6622733,-65.7300731,"Tafí Viejo"
QuilmesNA,2021-10-17,0.887261065832494,25.7226794307315,22.8227319677784,RiesgoQuilmesNA,-34.738509,-58.274411,"Quilmes"
TierradelFuegoTierra,2021-10-12,3.21428571428571,6.91913833663914,22.2400875106258,RiesgoTierradelFuegoTierradel,-53.8513984,-67.9844398,"Provincia de Tierra del Fuego"
SantaFeRosario,2021-10-15,1.27823585235833,18.3577199247101,23.4654957753173,RiesgoSantaFeRosario,-33.0848602,-60.9412975,"Rosario"
CórdobaJavier,2021-10-15,0.494047619047619,51.5249729909416,25.4557902276676,RiesgoCórdobaJavier,-32.03331,-65.0587869,"San Javier"
LaPlata,2021-10-17,1.13508077403998,22.5506935388761,25.5968586772459,RiesgoLaPlata,-34.914652,-57.952126,"La Plata"
AvellanedaNA,2021-10-17,1.13314877232944,23.5695526274439,26.7078096241423,RiesgoAvellanedaNA,-34.676135,-58.353813,"Avellaneda"
BuenosAires,2021-10-17,1.02562721441603,26.2981752441304,26.972124219862,RiesgoBuenosAires,-36.15563,-59.67701,"Provincia de Buenos Aires"
GeneralPueyrredón,2021-10-17,0.901989740228844,29.2479617826633,26.3813614505676,RiesgoGeneralPueyrredón,-38.0174831,-57.7409636,"General Pueyrredón"
LaRiojaRioja,2021-10-14,1.01345238095238,27.4438354284669,27.8130203574451,
MendozaLasHeras,2021-10-13,2.16542980828695,12.7280981251511,27.5618030830035,RiesgoMendozaLasHeras,-32.502084,-69.9005951,"Las Heras"
SantiagodelEsteroCap,2021-10-11,2.03055555555556,14.0903662153276,28.6112713983458,RiesgoSantiagodelEsteroCapital,-27.9126462,-64.7041329, "Capital"
Lomasde,2021-10-17,0.905370133742227,32.8545515122348,29.7455296966729,RiesgoLomasde,-34.763051,-58.383970,"Lomas de Zamora"
MendozaLujande,2021-10-13,1.69047619047619,17.4434831147083,29.4877928843879,RiesgoMendozaLujande,-33.0084125,-69.9229787,"Luján de Cuyo"
CórdobaCórdoba,2021-10-15,1.08616143165738,28.4008562804983,30.8479147179215,RiesgoCórdobaCórdoba,-31.4144096,-64.2072832,"Ciudad de Córdoba"
LaPampaCapital,2021-10-11,1.34047619047619,22.5411375760763,30.2158582269785,RiesgoLaPampaCapital,-36.5341943,-64.4967585,"Capital"
LaRiojaChilecito,2021-10-14,1.14285714285714,26.750484852538,30.5719826886148,
LanúsNA,2021-10-17,0.97551317712608,31.9773911202242,31.1943664078932,RiesgoLanúsNA,-34.718193,-58.393824,"Lanús"
LaRiojaCapital,2021-10-14,1.46713564213564,21.5149192518187,31.5653048720135,
ChubutRawson,2021-10-12,1.61025641025641,20.0180853046546,32.2342501828796,
SaltaSalta,2021-10-15,1.00866026581978,32.5049828102699,32.7864846018741,RiesgoSaltaSalta,-24.171756,-67.69567,"Provincia de Salta"
CórdobaMaría,2021-10-15,1.10160791589363,31.083817092739,34.242178965551,RiesgoCórdobaMaría,-31.6739456,-64.6961739,"Santa María"
NeuquénNeuquén,2021-10-15,1.46699649299448,24.0943172046978,35.3462788403883,RiesgoNeuquénNeuquén,38.94108,-68.1856128,"Neuquén"
SanJuanRawson,2021-10-11,2.02405689548547,17.3405848506345,35.0983303386776,RiesgoSanJuanRawson,-31.6863867,-68.6327016,"Rawson"
TierradelFuegoUshuai,2021-10-12,3.07142857142857,11.6489774786435,35.7790022558337,RiesgoTierradelFuegoUshuaia,-54.7820549,-67.4233811,"Ushuaia"
CórdobaPunilla,2021-10-15,2.04931972789116,18.2981758126267,37.4988126772366,RiesgoCórdobaPunilla,-31.1971199,-65.173777,"Punilla"
CatamarcaCapital,2021-10-11,0.75558267964283,50.7071742472983,38.3134625948896,RiesgoCatamarcaCapital,-28.4644541,-65.8101792,"Capital"
SaltaCapital,2021-10-15,0.91995560461947,42.7852907339737,39.3605680059926,RiesgoSaltaCapital,-24.7959126,-65.5008412,"Salta Capital"
LaPampaPampa,2021-10-11,1.54917268189327,26.78362181526,41.4924552383614,RiesgoLaPampaPampa,-37.1354555,-68.0819328,"Provincia de la Pampa"
TucumanCapital,2021-10-15,0.880822554915307,47.2128722759741,41.5861627830135,RiesgoTucumanCapital,-26.8328416,-65.2928062,"Tucumal Capital"
MendozaCapital,2021-10-13,2.20408163265306,19.1900145176632,42.296358528727,RiesgoMendozaCapital,-32.8833303,-68.8936246,"Mendoza Capital"
TucumanTucuman,2021-10-15,0.904162030666045,47.1482117904755,42.629622914749,RiesgoTucumanTucuman,-27.0233021,-66.4441939,"Provincia de Tucumán"
CatamarcaBelén,2021-10-11,1.57142857142857,27.7678606846761,43.6352096473482,RiesgoCatamarcaBelén,-26.9564058,-67.4496366,"Belen"
CatamarcaViejo,2021-10-11,0.644047619047619,69.2085063545992,44.5735737355216,RiesgoCatamarcaViejo,-28.5893342,-65.8397587,"Valle Viejo"
ChacoChaco,2020-07-09,0.933130738628284,47.3209297151363,44.1566140976622,
NeuquénConfluencia,2021-10-15,1.4887105239974,29.7560472722842,44.2981407268136,RiesgoNeuquénConfluencia,-38.8751414,-69.918078,"Confluencia"
SanJuanCapital,2021-10-11,2.45,18.6218005418944,45.6234113276413,RiesgoSanJuanCapital,-31.531737,-68.550186,"Capital"
CórdobaCapital,2021-10-15,1.23035406574907,40.6553281180779,50.0204482444395,
CatamarcaCatamarca,2021-10-11,0.827450485914943,62.3438395139588,51.5864402996284,RiesgoCatamarcaCatamarca,-27.6127887,-69.1999955,"Provincia de Catamarca"
SaltaJose,2021-10-15,1.23912742019885,44.3538136166208,54.9600266427439,RiesgoSaltaJose,-22.7842463,-64.8475636,"San Martín"
CorrientesCapital,2021-10-11,1.19306281155092,51.110061867513,60.9775141101965,RiesgoCorrientesCapital,-27.4861711,-58.827406,"Capital"
CorrientesCorrientes,2021-10-11,1.20623080633601,51.3025951975418,61.8827707722605,RiesgoCorrientesCorrientes,-29.5949429,-59.563809,"Provincia de Corrientes"
CorrientesTomé,2021-10-11,1.94642857142857,41.0155448915139,79.8338284495538,RiesgoCorrientesTomé,-28.3124912,-56.5427355,"Santo Tome"
LaPampaMaracó,2021-10-11,2.00408163265306,44.5361559359273,89.2540921001645,RiesgoLaPampaMaracó,-35.6809056,-63.802399,"Maracó"
ChacoFernando,2020-07-09,1.05254641539946,100.532710407056,105.815343969339,
CorrientesGoya,2021-10-11,1.58673992098746,124.219807968395,197.104528280849,RiesgoCorrientesGoya,-29.5351041,-59.5062103,"Goya"
RioNegroAvellaneda,2022-01-17,1.21220057627019,1266.45022181467,1535.19168870125,
GeneralRoca,2022-01-17,0.880379899436426,1895.50162730084,1668.7615320247,RiesgoGeneralRoca,-39.02549,-67.57987,"General Roca"
CABACOMUNA8,2022-01-17,0.71221306963198,2469.50247430695,1758.81193768993,RiesgoCABACOMUNA8,-34.676444,-58.477528,"CABA COMUNA8"
RioNegro,2022-01-17,0.956935716869528,2006.39370794933,1919.989801239,RiesgoRioNegro,-40.03166,-67.67322,"Provincia de Rio Negro"
RioNegroAdolfoAlsina,2022-01-17,1.53932158486366,1442.32238349885,2220.19797725178,
ChacoNA,2022-01-17,0.882460860878105,2562.80193036186,2261.57239772719,RiesgoChacoNA,-26.49039,-60.60428,"Provincia de Chaco"
CABACOMUNA7,2022-01-17,0.855053885460543,2679.63830464606,2291.23514401651,RiesgoCABACOMUNA7,-34.635997,-58.451892,"CABA COMUNA7"
CABACOMUNA4,2022-01-17,0.775326499093296,3048.31320283215,2363.43800369173,RiesgoCABACOMUNA4,-34.641472,-58.389063,"CABA COMUNA4"
